the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,street,segmentid,Rank,PMP_ID,NTA2020,Boro,Category,NTAName,FEMAFldz,FEMAFldT,HrcEvac,SHAPE_Leng
"MULTILINESTRING ((-73.98987421380659 40.73540825804987, -73.98945472120609 40.73598724691183))",1,Manhattan,105,2,"74,75",28,12,UNION SQUARE EAST,164378,1,32268,MN0602,MN,Global,"Midtown South-Flatiron-Union Square,Gramercy",X,AREA OF MINIMAL FLOOD HAZARD,,240.8579126
"MULTILINESTRING ((-73.98986198889538 40.735326099142014, -73.98987421380659 40.73540825804987))",1,Manhattan,105,2,"74,75","28,27",12,UNION SQUARE EAST,164377,1,32268,MN0602,MN,Global,"Midtown South-Flatiron-Union Square,Gramercy",X,AREA OF MINIMAL FLOOD HAZARD,,30.12419431
"MULTILINESTRING ((-74.00825772575094 40.739375929180824, -74.00967995872185 40.7393795438196))",1,Manhattan,102,3,66,27,10,GANSEVOORT STREET,236855,1,31108,MN0203,MN,Global,West Village,"AE,X",",0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD",1,394.127205
"MULTILINESTRING ((-74.01282671107701 40.70240862624739, -74.01363820647819 40.702371128395654))",1,Manhattan,101,1,65,26,10,STATE STREET,257472,1,30058,MN0101,MN,Global,Financial District-Battery Park City,AE,,1,225.4184147
"MULTILINESTRING ((-73.97685152366758 40.7517764937864, -73.97651587152038 40.751636471937))",1,Manhattan,105,4,73,27,12,EAST 42 STREET,297548,1,32851,MN0604,MN,Global,"Murray Hill-Kips Bay,East Midtown-Turtle Bay",X,AREA OF MINIMAL FLOOD HAZARD,,106.0709841
"MULTILINESTRING ((-74.00898755324133 40.70408482794107, -74.00878919259463 40.70421090227653))",1,Manhattan,101,1,65,26,10,WATER STREET,23145,1,29765,MN0101,MN,Global,Financial District-Battery Park City,AE,,1,71.65618458
"MULTILINESTRING ((-74.00630969543175 40.71416582693908, -74.00588849692078 40.714677285126655))",1,Manhattan,101,1,66,26,10,BROADWAY,23403,1,30113,MN0102,MN,Global,Tribeca-Civic Center,X,AREA OF MINIMAL FLOOD HAZARD,5,219.9012964
"MULTILINESTRING ((-73.98694873854542 40.75603590259463, -73.98645825475441 40.75671007129479))",1,Manhattan,105,3,75,27,"10,12",7 AVENUE,33949,1,32399,MN0502,MN,Global,Midtown-Times Square,X,AREA OF MINIMAL FLOOD HAZARD,,280.7047919
"MULTILINESTRING ((-73.98225790952995 40.76831122434096, -73.98224426727246 40.76832006248301, -73.98223032542299 40.76832862862509, -73.98221609701217 40.76833691556518, -73.98220158796371 40.768344917901004, -73.98218681130764 40.76835263113193, -73.9821717753368 40.76836004895573, -73.98215648952791 40.76836716687113, -73.98214096572686 40.76837397947692, -73.98212521459489 40.76838048227211, -73.98210924560838 40.76838667255654, -73.98209307061367 40.76839254312805, -73.98207670027114 40.76839809308756, -73.98206014524253 40.76840331613323, -73.98204341618842 40.76840821046557))",1,Manhattan,"104,107",3,"67,75",27,10,COLUMBUS CIRCLE,297895,1,32428,MN0502,MN,Global,Upper West Side-Lincoln Square,X,AREA OF MINIMAL FLOOD HAZARD,,69.50938858
"MULTILINESTRING ((-74.01318764333136 40.704042717065995, -74.01326979423426 40.70455349671312))",1,Manhattan,101,1,65,26,10,BROADWAY,23004,1,30000,MN0101,MN,Global,Financial District-Battery Park City,X,AREA OF MINIMAL FLOOD HAZARD,"1,3,4",187.4810954
"MULTILINESTRING ((-74.01125467681207 40.707507639991086, -74.01067628730094 40.70711636892422))",1,Manhattan,101,1,65,26,10,WALL STREET,23191,1,29768,MN0101,MN,Global,Financial District-Battery Park City,X,AREA OF MINIMAL FLOOD HAZARD,"4,5",214.5598861
"MULTILINESTRING ((-73.97215595443662 40.75968123962643, -73.9716960918922 40.76031266051782))",1,Manhattan,105,4,73,"28,27",12,PARK AVENUE,36008,1,32882,MN0604,MN,Global,"Midtown-Times Square,East Midtown-Turtle Bay",X,AREA OF MINIMAL FLOOD HAZARD,,262.9668867
"MULTILINESTRING ((-74.00633307542522 40.73963109908555, -74.00586426283276 40.74026144296953))",1,Manhattan,102,3,66,27,10,9 AVENUE,32023,1,31072,MN0203,MN,Global,West Village,X,AREA OF MINIMAL FLOOD HAZARD,"3,4",263.8540246
"MULTILINESTRING ((-74.00645011832735 40.739404029671796, -74.00805064100929 40.73937540083729))",1,Manhattan,102,3,66,27,10,GANSEVOORT STREET,32020,1,31001,MN0203,MN,Global,West Village,X,AREA OF MINIMAL FLOOD HAZARD,"1,3,4",443.6546708
"MULTILINESTRING ((-73.99075396816592 40.73483915434294, -73.98990296066164 40.73443478993218))",1,Manhattan,"105,103,102",2,"74,66,75","28,27",12,EAST 14 STREET,32807,1,30783,MN0202,MN,Global,"Greenwich Village,East Village,Midtown South-Flatiron-Union Square,Gramercy",X,AREA OF MINIMAL FLOOD HAZARD,,278.0774205
"MULTILINESTRING ((-73.99664704435632 40.74782272928695, -73.99619655486127 40.748439327913744))",1,Manhattan,"105,104",3,75,27,"10,12",8 AVENUE,33646,1,31729,MN0401,MN,Global,"Chelsea-Hudson Yards,Midtown South-Flatiron-Union Square",X,AREA OF MINIMAL FLOOD HAZARD,6,256.9954157
"MULTILINESTRING ((-73.98519152229102 40.763543674168766, -73.98473393726681 40.76416910463622))",1,Manhattan,"105,104",3,67,27,"10,12",8 AVENUE,34101,1,32336,MN0502,MN,Global,"Hell's Kitchen,Midtown-Times Square",X,AREA OF MINIMAL FLOOD HAZARD,,260.7489631
"MULTILINESTRING ((-73.98112322914102 40.75028245852966, -73.98067345380979 40.750905101789954))",1,Manhattan,"105,106",4,73,"28,27",12,MADISON AVENUE,34162,1,32476,MN0502,MN,Global,Midtown-Times Square,X,AREA OF MINIMAL FLOOD HAZARD,,258.8251905
"MULTILINESTRING ((-73.98094066426039 40.75340720773114, -73.98088709868144 40.75348098898138))",1,Manhattan,105,4,"73,75",27,12,5 AVENUE,264294,1,32554,MN0502,MN,Global,Midtown-Times Square,X,AREA OF MINIMAL FLOOD HAZARD,,30.70557198
"MULTILINESTRING ((-73.98321467192419 40.73162416814159, -73.98296440616376 40.73152084218467))",1,Manhattan,"103,106",2,74,27,12,EAST 14 STREET,294717,1,31687,MN0303,MN,Global,"East Village,Gramercy",X,AREA OF MINIMAL FLOOD HAZARD,"5,6",78.91824729
"MULTILINESTRING ((-74.01157634460333 40.70401945007884, -74.01159382676019 40.70357868388579))",1,Manhattan,101,1,65,26,10,BROAD STREET,23131,1,29854,MN0101,MN,Global,Financial District-Battery Park City,AE,,1,160.6574497
"MULTILINESTRING ((-74.01067628730094 40.70711636892422, -74.0111899424408 40.70627872754962))",1,Manhattan,101,1,65,26,10,BROAD STREET,23160,1,29771,MN0101,MN,Global,Financial District-Battery Park City,X,AREA OF MINIMAL FLOOD HAZARD,"2,4,5",336.7712329
"MULTILINESTRING ((-74.00812645286996 40.70467179677727, -74.00739218802947 40.70518268844746))",1,Manhattan,101,1,65,26,10,WATER STREET,23185,1,30057,MN0101,MN,Global,Financial District-Battery Park City,AE,,1,275.8466768
"MULTILINESTRING ((-74.0086453788268 40.707340019249045, -74.0082689573427 40.70772193569958))",1,Manhattan,101,1,65,26,10,WILLIAM STREET,23184,1,29812,MN0101,MN,Global,Financial District-Battery Park City,X,AREA OF MINIMAL FLOOD HAZARD,"2,4,5",173.9325274
"MULTILINESTRING ((-73.98362158382677 40.74972377163728, -73.98317416227785 40.75034220887393))",1,Manhattan,105,4,"73,75",27,12,5 AVENUE,34040,1,32392,MN0502,MN,Global,Midtown-Times Square,X,AREA OF MINIMAL FLOOD HAZARD,,257.1686538
"MULTILINESTRING ((-73.98456077106887 40.74843884222932, -73.9840763605006 40.74910212512281))",1,Manhattan,105,4,"73,75",27,12,5 AVENUE,34029,1,32143,MN0501,MN,Global,"Midtown South-Flatiron-Union Square,Midtown-Times Square",X,AREA OF MINIMAL FLOOD HAZARD,,276.4274785
"MULTILINESTRING ((-73.98548819097489 40.75293517971612, -73.9850436378595 40.75355414838458))",1,Manhattan,105,4,75,27,12,AVENUE OF THE AMERICAS,34050,1,32343,MN0502,MN,Global,Midtown-Times Square,X,AREA OF MINIMAL FLOOD HAZARD,,256.9536323
"MULTILINESTRING ((-73.98287713494129 40.766715594893384, -73.98236545044408 40.767392152621454))",1,Manhattan,"105,104",3,"67,75",27,"10,12",8 AVENUE,34115,1,32510,MN0502,MN,Global,"Hell's Kitchen,Midtown-Times Square,Upper West Side-Lincoln Square",X,AREA OF MINIMAL FLOOD HAZARD,,284.337906
"MULTILINESTRING ((-73.97878321468814 40.753480214555, -73.9783321534231 40.75410003047545))",1,Manhattan,105,4,73,"28,27",12,MADISON AVENUE,35787,1,32391,MN0502,MN,Global,Midtown-Times Square,X,AREA OF MINIMAL FLOOD HAZARD,,258.0923624
"MULTILINESTRING ((-74.00152393703837 40.71982074012896, -74.00142451028971 40.719937198022585))",1,Manhattan,102,1,66,26,10,BROADWAY,257755,1,30372,MN0201,MN,Global,SoHo-Little Italy-Hudson Square,X,AREA OF MINIMAL FLOOD HAZARD,"2,3,4",50.59485659
"MULTILINESTRING ((-74.00188406372129 40.71939756995035, -74.00152393703837 40.71982074012896))",1,Manhattan,"101,102",1,66,26,10,BROADWAY,257754,1,30372,MN0201,MN,Global,"Tribeca-Civic Center,SoHo-Little Italy-Hudson Square",X,AREA OF MINIMAL FLOOD HAZARD,"2,3",183.6708613
"MULTILINESTRING ((-74.01326979423426 40.70455349671312, -74.01332610811649 40.705030788338405))",1,Manhattan,101,1,65,26,10,BROADWAY,23056,1,30000,MN0101,MN,Global,Financial District-Battery Park City,X,AREA OF MINIMAL FLOOD HAZARD,"1,3,4",174.5912038
"MULTILINESTRING ((-73.98817709950141 40.74828882263136, -73.9880380994221 40.749022999047675))",1,Manhattan,105,"3,4",75,27,12,BROADWAY,33909,1,32277,MN0501,MN,Global,Midtown South-Flatiron-Union Square,X,AREA OF MINIMAL FLOOD HAZARD,,270.242575
"MULTILINESTRING ((-73.97445730581362 40.76229308303925, -73.97396798923278 40.76296658678867))",1,Manhattan,105,4,"73,75",28,12,5 AVENUE,36011,1,32445,MN0502,MN,Global,Midtown-Times Square,X,AREA OF MINIMAL FLOOD HAZARD,,280.3303543
"MULTILINESTRING ((-73.97422333721101 40.75973979431074, -73.97376587587851 40.7603641640351))",1,Manhattan,105,4,73,27,12,MADISON AVENUE,36000,1,32283,MN0502,MN,Global,Midtown-Times Square,X,AREA OF MINIMAL FLOOD HAZARD,,260.3980403
"MULTILINESTRING ((-73.97376587587851 40.7603641640351, -73.9733088700816 40.76098886517997))",1,Manhattan,105,4,"73,75","28,27",12,MADISON AVENUE,36001,1,32408,MN0502,MN,Global,Midtown-Times Square,X,AREA OF MINIMAL FLOOD HAZARD,,260.4416006
"MULTILINESTRING ((-73.97948313821733 40.75540496545599, -73.97929847253518 40.75565708920289))",1,Manhattan,105,4,"73,75",27,12,5 AVENUE,297433,1,32566,MN0502,MN,Global,Midtown-Times Square,X,AREA OF MINIMAL FLOOD HAZARD,,105.1436888
"MULTILINESTRING ((-73.97929847253518 40.75565708920289, -73.97902396819073 40.75603186764415))",1,Manhattan,105,4,"73,75",27,12,5 AVENUE,297434,1,32566,MN0502,MN,Global,Midtown-Times Square,X,AREA OF MINIMAL FLOOD HAZARD,,156.2946473
"MULTILINESTRING ((-74.01439176843395 40.7035987826561, -74.0142552396094 40.7044254720254))",1,Manhattan,101,1,65,26,10,STATE STREET,22995,1,30035,MN0101,MN,Global,"Financial District-Battery Park City,The Battery-Governors Island-Ellis Island-Liberty Island",X,AREA OF MINIMAL FLOOD HAZARD,"1,2,3",303.5572173
"MULTILINESTRING ((-74.01266346194058 40.701813009765324, -74.01255063454039 40.70150569632172))",1,Manhattan,101,1,65,26,10,WHITEHALL STREET,22988,1,30092,MN0101,MN,Global,Financial District-Battery Park City,AE,,1,116.2519202
"MULTILINESTRING ((-74.01159382676019 40.70357868388579, -74.01159675016173 40.70344666047351))",1,Manhattan,101,1,65,26,10,BROAD STREET,23019,1,29891,MN0101,MN,Global,Financial District-Battery Park City,AE,,1,48.10690624
"MULTILINESTRING ((-73.97907658814196 40.76687608551527, -73.98149121454848 40.76788119880398))",1,Manhattan,"105,104,164","3,6,4",75,"28,29,27","10,12",CENTRAL PARK SOUTH,35869,1,32382,MN0502,MN,Global,"Midtown-Times Square,Upper West Side-Lincoln Square,Central Park",X,AREA OF MINIMAL FLOOD HAZARD,,762.5377499
"MULTILINESTRING ((-73.98832033328503 40.74101586817535, -73.98798240077345 40.74087265457527))",1,Manhattan,105,2,75,28,12,EAST 23 STREET,106045,1,32274,MN0501,MN,Global,Midtown South-Flatiron-Union Square,X,AREA OF MINIMAL FLOOD HAZARD,,107.1997606
"MULTILINESTRING ((-73.98923439957638 40.74253862547961, -73.98915469864507 40.743029960681106))",1,Manhattan,105,"3,2",75,28,12,BROADWAY,115236,1,32264,MN0501,MN,Global,Midtown South-Flatiron-Union Square,X,AREA OF MINIMAL FLOOD HAZARD,,180.3663104
"MULTILINESTRING ((-73.97741703364424 40.75535463601488, -73.9770934903786 40.75579790438575))",1,Manhattan,105,4,73,27,12,MADISON AVENUE,297663,1,32560,MN0502,MN,Global,Midtown-Times Square,X,AREA OF MINIMAL FLOOD HAZARD,,184.7057054
"MULTILINESTRING ((-73.9770934903786 40.75579790438575, -73.97696049646021 40.755980109505025))",1,Manhattan,105,4,"73,75",27,12,MADISON AVENUE,297664,1,32560,MN0502,MN,Global,Midtown-Times Square,X,AREA OF MINIMAL FLOOD HAZARD,,75.92328531
"MULTILINESTRING ((-73.98234261455295 40.76822453866989, -73.98233732906546 40.76823113765051, -73.98233192159596 40.76823767897995, -73.98232639214476 40.768244161757664, -73.98232074308116 40.76825058418306, -73.98231497558997 40.76825694445526, -73.98230908967105 40.768263243474685, -73.9823030876941 40.76826947763974, -73.98229696965915 40.768275646950386, -73.98229073793551 40.76828174960596, -73.98228439252343 40.76828778470597, -73.9822779357922 40.76829375044967, -73.98227136892632 40.76829964683732, -73.98226469311079 40.768305471167565, -73.98225790952995 40.76831122434096))",1,Manhattan,104,3,"67,75",27,10,COLUMBUS CIRCLE,297894,1,32428,MN0502,MN,Global,Upper West Side-Lincoln Square,X,AREA OF MINIMAL FLOOD HAZARD,,39.40826472
"MULTILINESTRING ((-73.97580739396955 40.75467727326743, -73.9753437801406 40.75529969431891))",1,Manhattan,105,4,73,27,12,PARK AVENUE,35831,1,32937,MN0604,MN,Global,"Midtown-Times Square,East Midtown-Turtle Bay",X,AREA OF MINIMAL FLOOD HAZARD,,260.6184685
"MULTILINESTRING ((-73.9716960918922 40.76031266051782, -73.9712427742973 40.76093641785715))",1,Manhattan,105,4,73,"28,27",12,PARK AVENUE,36146,1,32441,MN0604,MN,Global,"Midtown-Times Square,East Midtown-Turtle Bay",X,AREA OF MINIMAL FLOOD HAZARD,,259.6454853
"MULTILINESTRING ((-73.99684295934945 40.72534783825996, -73.99677175771461 40.725431943832376))",1,Manhattan,102,1,66,26,10,BROADWAY,164237,1,30564,MN0201,MN,Global,"SoHo-Little Italy-Hudson Square,Greenwich Village",X,AREA OF MINIMAL FLOOD HAZARD,,36.44765523
"MULTILINESTRING ((-73.98912579828858 40.74135773451446, -73.98832033328503 40.74101586817535))",1,Manhattan,105,2,75,28,12,EAST 23 STREET,106044,1,32274,MN0501,MN,Global,Midtown South-Flatiron-Union Square,X,AREA OF MINIMAL FLOOD HAZARD,,255.6022986
"MULTILINESTRING ((-73.96715838342668 40.76075738078958, -73.9670627489002 40.76088958718673))",1,Manhattan,106,4,73,28,12,3 AVENUE,323791,1,33030,MN0604,MN,Global,East Midtown-Turtle Bay,X,AREA OF MINIMAL FLOOD HAZARD,,54.9724808
"MULTILINESTRING ((-73.99219264758479 40.751653936905456, -73.99346417756944 40.75219005470869))",1,Manhattan,"105,104",3,75,"31,27",10,WEST 34 STREET,9017022,1,32275,MN0501,MN,Global,"Chelsea-Hudson Yards,Midtown South-Flatiron-Union Square,Midtown-Times Square",X,AREA OF MINIMAL FLOOD HAZARD,,402.820745
"MULTILINESTRING ((-73.97236276045378 40.756497726143365, -73.97190676064584 40.75712467357983))",1,Manhattan,"105,106",4,73,"28,27",12,LEXINGTON AVENUE,35978,1,32979,MN0604,MN,Global,East Midtown-Turtle Bay,X,AREA OF MINIMAL FLOOD HAZARD,,261.0255456
"MULTILINESTRING ((-73.9453978839815 40.807737206661486, -73.94548195195367 40.80777262702277))",1,Manhattan,110,9,70,30,13,WEST 125 STREET,173020,1,34794,MN1001,MN,Global,Harlem (South),X,AREA OF MINIMAL FLOOD HAZARD,6,26.61123072
"MULTILINESTRING ((-73.9455389964142 40.80779668828221, -73.94690615305865 40.80837326483818))",1,Manhattan,110,9,70,30,13,WEST 125 STREET,9017009,1,34795,MN1001,MN,Global,Harlem (South),X,AREA OF MINIMAL FLOOD HAZARD,6,432.8615342
"MULTILINESTRING ((-73.94978166197443 40.80958766907025, -73.9511654865289 40.810172894681315))",1,Manhattan,110,9,70,30,13,WEST 125 STREET,9017016,1,34786,MN1001,MN,Global,Harlem (South),X,AREA OF MINIMAL FLOOD HAZARD,6,438.4165093
"MULTILINESTRING ((-73.9484056906922 40.809005736926586, -73.94978166197443 40.80958766907025))",1,Manhattan,110,9,70,30,13,WEST 125 STREET,9017015,1,34786,MN1001,MN,Global,Harlem (South),X,AREA OF MINIMAL FLOOD HAZARD,6,435.9362938
"MULTILINESTRING ((-73.94690615305865 40.80837326483818, -73.94823349684361 40.80893302556554))",1,Manhattan,110,9,70,30,13,WEST 125 STREET,9017010,1,34795,MN1001,MN,Global,Harlem (South),X,AREA OF MINIMAL FLOOD HAZARD,6,420.2489856
"MULTILINESTRING ((-73.9511654865289 40.810172894681315, -73.95259125740898 40.81076533295935))",1,Manhattan,"109,110",9,70,30,13,WEST 125 STREET,38636,1,34702,MN1001,MN,Global,"Morningside Heights,Harlem (South)",X,AREA OF MINIMAL FLOOD HAZARD,6,449.8499532
"MULTILINESTRING ((-73.94384075211727 40.80708081215108, -73.9453978839815 40.807737206661486))",1,Manhattan,110,9,70,30,13,WEST 125 STREET,9017012,1,34794,MN1001,MN,Global,Harlem (South),X,AREA OF MINIMAL FLOOD HAZARD,6,492.9610239
"MULTILINESTRING ((-73.94226311224311 40.80641573786821, -73.94384075211727 40.80708081215108))",1,Manhattan,"110,111",9,"68,70",30,13,WEST 125 STREET,9017011,1,34794,MN1001,MN,Global,"Harlem (South),East Harlem (North)",X,AREA OF MINIMAL FLOOD HAZARD,6,499.4634368
"MULTILINESTRING ((-73.94832657203305 40.808972274104484, -73.9484056906922 40.809005736926586))",1,Manhattan,110,9,70,30,13,WEST 125 STREET,166504,1,34786,MN1001,MN,Global,Harlem (South),X,AREA OF MINIMAL FLOOD HAZARD,6,25.06680562
"MULTILINESTRING ((-73.94548195195367 40.80777262702277, -73.9455389964142 40.80779668828221))",1,Manhattan,110,9,70,30,13,WEST 125 STREET,166551,1,34795,MN1001,MN,Global,Harlem (South),X,AREA OF MINIMAL FLOOD HAZARD,6,18.06181022
"MULTILINESTRING ((-73.94823349684361 40.80893302556554, -73.94832657203305 40.808972274104484))",1,Manhattan,110,9,70,30,13,WEST 125 STREET,166552,1,34795,MN1001,MN,Global,Harlem (South),X,AREA OF MINIMAL FLOOD HAZARD,6,29.46787101
"MULTILINESTRING ((-74.00820401888555 40.7421475184379, -74.00869902249565 40.74236172352618))",1,Manhattan,"104,102",3,66,27,10,WEST 14 STREET,164190,1,31027,MN0203,MN,Global,"West Village,Chelsea-Hudson Yards","AE,X",",0.2 PCT ANNUAL CHANCE FLOOD HAZARD","2,3",157.8150064
"MULTILINESTRING ((-74.00310733866476 40.73999752073207, -74.00512553468717 40.74085021269853))",1,Manhattan,"104,102",3,66,27,10,WEST 14 STREET,215773,1,31106,MN0203,MN,Global,"West Village,Chelsea-Hudson Yards",X,AREA OF MINIMAL FLOOD HAZARD,4,639.7591294
"MULTILINESTRING ((-74.0025238155258 40.73975264294851, -74.00310733866476 40.73999752073207))",1,Manhattan,"104,102",3,"66,75",27,"10,12",WEST 14 STREET,215772,1,31106,MN0203,MN,Global,"West Village,Chelsea-Hudson Yards",X,AREA OF MINIMAL FLOOD HAZARD,"4,5",184.6821257
"MULTILINESTRING ((-73.99119899402012 40.73501236768723, -73.99075396816592 40.73483915434294))",1,Manhattan,"105,102",2,"74,66,75",28,12,EAST 14 STREET,32805,1,30821,MN0202,MN,Global,"Greenwich Village,Midtown South-Flatiron-Union Square",X,AREA OF MINIMAL FLOOD HAZARD,,138.5402667
"MULTILINESTRING ((-73.99171498742916 40.73521530119412, -73.99119899402012 40.73501236768723))",1,Manhattan,"105,102",2,"66,75","28,27",12,EAST 14 STREET,32802,1,30821,MN0202,MN,Global,"Greenwich Village,Midtown South-Flatiron-Union Square",X,AREA OF MINIMAL FLOOD HAZARD,,160.9823386
"MULTILINESTRING ((-73.99968422985516 40.738552473069326, -74.0025238155258 40.73975264294851))",1,Manhattan,"104,102",3,"66,75",27,"10,12",WEST 14 STREET,32456,1,31056,MN0203,MN,Global,"West Village,Chelsea-Hudson Yards",X,AREA OF MINIMAL FLOOD HAZARD,"4,5,6",900.2267623
"MULTILINESTRING ((-74.00512553468717 40.74085021269853, -74.00536222102257 40.74094950264434))",1,Manhattan,"104,102",3,66,27,10,WEST 14 STREET,32044,1,31106,MN0203,MN,Global,"West Village,Chelsea-Hudson Yards",X,AREA OF MINIMAL FLOOD HAZARD,"3,4",74.9027418
"MULTILINESTRING ((-74.0069707781379 40.74162712644293, -74.0077911613608 40.74197084422294))",1,Manhattan,"104,102",3,66,27,10,WEST 14 STREET,236865,1,31109,MN0203,MN,Global,"West Village,Chelsea-Hudson Yards",X,"0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD","2,3",259.5430405
"MULTILINESTRING ((-74.00536222102257 40.74094950264434, -74.00544214819745 40.74098214047748))",1,Manhattan,"104,102",3,66,27,10,WEST 14 STREET,271221,1,31106,MN0203,MN,Global,"West Village,Chelsea-Hudson Yards",X,AREA OF MINIMAL FLOOD HAZARD,"3,4",25.13879011
"MULTILINESTRING ((-74.0077911613608 40.74197084422294, -74.00820401888555 40.7421475184379))",1,Manhattan,"104,102",3,66,27,10,WEST 14 STREET,236866,1,31109,MN0203,MN,Global,"West Village,Chelsea-Hudson Yards",X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,"2,3",131.2699748
"MULTILINESTRING ((-74.00544214819745 40.74098214047748, -74.0069707781379 40.74162712644293))",1,Manhattan,"104,102",3,66,27,10,WEST 14 STREET,271222,1,30984,MN0203,MN,Global,"West Village,Chelsea-Hudson Yards",X,AREA OF MINIMAL FLOOD HAZARD,"2,3",484.4113254
"MULTILINESTRING ((-73.98718049621655 40.73329214716906, -73.98494550566592 40.7323496722837))",1,Manhattan,"103,106",2,"74,66",27,12,EAST 14 STREET,32953,1,31544,MN0303,MN,Global,"East Village,Gramercy",X,AREA OF MINIMAL FLOOD HAZARD,"5,6",708.2231091
"MULTILINESTRING ((-73.99361688443895 40.73600449137932, -73.99171498742916 40.73521530119412))",1,Manhattan,"105,102","3,2","66,75","28,27","10,12",EAST 14 STREET,32794,1,30804,MN0202,MN,Global,"Greenwich Village,Midtown South-Flatiron-Union Square",X,AREA OF MINIMAL FLOOD HAZARD,6,600.4021813
"MULTILINESTRING ((-73.99361688443895 40.73600449137932, -73.99683993951959 40.737360888523035))",1,Manhattan,"105,104,102","3,2","66,75","28,27","10,12",WEST 14 STREET,32792,1,30672,MN0202,MN,Global,"Greenwich Village,West Village,Chelsea-Hudson Yards,Midtown South-Flatiron-Union Square",X,AREA OF MINIMAL FLOOD HAZARD,6,1020.792701
"MULTILINESTRING ((-73.99683993951959 40.737360888523035, -73.99968422985516 40.738552473069326))",1,Manhattan,"105,104,102",3,"66,75",27,"10,12",WEST 14 STREET,32627,1,30780,MN0203,MN,Global,"Greenwich Village,West Village,Chelsea-Hudson Yards,Midtown South-Flatiron-Union Square",X,AREA OF MINIMAL FLOOD HAZARD,"5,6",899.865749
"MULTILINESTRING ((-73.98346644215543 40.7317310804936, -73.98321467192419 40.73162416814159))",1,Manhattan,"103,106",2,74,27,12,EAST 14 STREET,314508,1,31687,MN0303,MN,Global,"East Village,Gramercy",X,AREA OF MINIMAL FLOOD HAZARD,"5,6",79.91354019
"MULTILINESTRING ((-73.98494550566592 40.7323496722837, -73.9835605205364 40.731770224650354))",1,Manhattan,"103,106",2,"74,66",27,12,EAST 14 STREET,314459,1,31687,MN0303,MN,Global,"East Village,Gramercy",X,AREA OF MINIMAL FLOOD HAZARD,"5,6",438.0695276
"MULTILINESTRING ((-73.9835605205364 40.731770224650354, -73.98346644215543 40.7317310804936))",1,Manhattan,"103,106",2,74,27,12,EAST 14 STREET,314507,1,31687,MN0303,MN,Global,"East Village,Gramercy",X,AREA OF MINIMAL FLOOD HAZARD,"5,6",29.71913402
"MULTILINESTRING ((-73.98296440616376 40.73152084218467, -73.98255629299425 40.73135013385498))",1,Manhattan,"103,106","4,2",74,27,12,EAST 14 STREET,294713,1,31687,MN0303,MN,Global,"East Village,Stuyvesant Town-Peter Cooper Village,Gramercy",X,AREA OF MINIMAL FLOOD HAZARD,"4,5,6",129.0801928
"MULTILINESTRING ((-73.98877931676213 40.733965398800954, -73.98757195313635 40.73345699026602))",1,Manhattan,"105,103,106",2,"74,66",27,12,EAST 14 STREET,329374,1,31583,MN0303,MN,Global,"East Village,Gramercy",X,AREA OF MINIMAL FLOOD HAZARD,,382.4570147
"MULTILINESTRING ((-73.98883935117308 40.733990479280465, -73.98877931676213 40.733965398800954))",1,Manhattan,"105,103,106",2,"74,66",27,12,EAST 14 STREET,329326,1,31543,MN0303,MN,Global,"East Village,Gramercy",X,AREA OF MINIMAL FLOOD HAZARD,,18.98198612
"MULTILINESTRING ((-73.98990296066164 40.73443478993218, -73.98883935117308 40.733990479280465))",1,Manhattan,"105,103,102",2,"74,66","28,27",12,EAST 14 STREET,329325,1,31543,MN0303,MN,Global,"Greenwich Village,East Village,Midtown South-Flatiron-Union Square,Gramercy",X,AREA OF MINIMAL FLOOD HAZARD,,336.29099
"MULTILINESTRING ((-73.98757195313635 40.73345699026602, -73.98718049621655 40.73329214716906))",1,Manhattan,"103,106",2,"74,66",27,12,EAST 14 STREET,329375,1,31583,MN0303,MN,Global,"East Village,Gramercy",X,AREA OF MINIMAL FLOOD HAZARD,6,124.0032357
"MULTILINESTRING ((-74.00869902249565 40.74236172352618, -74.00879080555238 40.74237514311575))",1,Manhattan,"104,102",3,"66,75",27,10,WEST 14 STREET,164191,1,31027,MN0203,MN,Global,"West Village,Chelsea-Hudson Yards",AE,,"1,2",25.89917866
"MULTILINESTRING ((-73.98957565815402 40.741548080269965, -73.99280340951096 40.74291001979628))",1,Manhattan,"105,104","3,2",75,"28,27",12,WEST 23 STREET,33004,1,32187,MN0501,MN,Global,"Chelsea-Hudson Yards,Midtown South-Flatiron-Union Square",X,AREA OF MINIMAL FLOOD HAZARD,6,1022.844754
"MULTILINESTRING ((-73.98798240077345 40.74087265457527, -73.98641663140243 40.74020708497929))",1,Manhattan,105,2,75,28,12,EAST 23 STREET,164405,1,32197,MN0501,MN,Global,Midtown South-Flatiron-Union Square,X,AREA OF MINIMAL FLOOD HAZARD,,497.0556661
"MULTILINESTRING ((-73.98957565815402 40.741548080269965, -73.98936686021689 40.74146174397787))",1,Manhattan,105,"3,2",75,28,12,EAST 23 STREET,115233,1,32273,MN0501,MN,Global,Midtown South-Flatiron-Union Square,X,AREA OF MINIMAL FLOOD HAZARD,,65.8570892
